Motion Sensor Data File Sep 21, 2018 12:30 PM
Time (s)	Distance (cm)	Dist Error (cm)
6.030	19.485	0.239
6.040	19.668	0.239
6.050	19.855	0.239
6.060	20.090	0.239
6.070	20.333	0.239
6.080	20.615	0.239
6.090	20.897	0.239
6.100	21.213	0.239
6.110	21.551	0.239
6.120	21.893	0.239
6.130	22.257	0.239
6.140	22.612	0.239
6.150	22.984	0.239
6.160	23.348	0.239
6.170	23.724	0.239
6.180	24.079	0.239
6.190	24.443	0.239
6.200	24.780	0.239
6.210	25.123	0.239
6.220	25.434	0.239
6.230	25.734	0.239
6.240	26.007	0.239
6.250	26.267	0.239
6.260	26.485	0.239
6.270	26.694	0.239
6.280	26.860	0.239
6.290	27.013	0.239
6.300	27.114	0.239
6.310	27.194	0.239
6.320	27.235	0.239
6.330	27.237	0.239
6.340	27.222	0.239
6.350	27.156	0.239
6.360	27.072	0.239
6.370	26.942	0.239
6.380	26.794	0.239
6.390	26.607	0.239
6.400	26.394	0.239
6.410	26.152	0.239
6.420	25.901	0.239
6.430	25.606	0.239
6.440	25.308	0.239
6.450	24.975	0.239
6.460	24.646	0.239
6.470	24.292	0.239
6.480	23.946	0.239
6.490	23.579	0.239
6.500	23.216	0.239
6.510	22.840	0.239
6.520	22.481	0.239
6.530	22.118	0.239
6.540	21.776	0.239
6.550	21.431	0.239
6.560	21.106	0.239
6.570	20.808	0.239
6.580	20.514	0.239
6.590	20.258	0.239
6.600	20.011	0.239
6.610	19.807	0.239
6.620	19.620	0.239
6.630	19.473	0.239
6.640	19.341	0.239
6.650	19.254	0.239
6.660	19.187	0.239
6.670	19.164	0.239
6.680	19.166	0.239
6.690	19.216	0.239
6.700	19.283	0.239
6.710	19.397	0.239
6.720	19.533	0.239
6.730	19.712	0.239
6.740	19.903	0.239
6.750	20.138	0.239
6.760	20.381	0.239
6.770	20.650	0.239
6.780	20.953	0.239
6.790	21.261	0.239
6.800	21.595	0.239
6.810	21.933	0.239
6.820	22.296	0.239
6.830	22.655	0.239
6.840	23.028	0.239
6.850	23.391	0.239
6.860	23.764	0.239
6.870	24.123	0.239
6.880	24.478	0.239
6.890	24.816	0.239
6.900	25.149	0.239
6.910	25.457	0.239
6.920	25.756	0.239
6.930	26.025	0.239
6.940	26.285	0.239
6.950	26.498	0.239
6.960	26.707	0.239
6.970	26.869	0.239
6.980	27.017	0.239
6.990	27.115	0.239
7.000	27.186	0.239
7.010	27.231	0.239
7.020	27.234	0.239
7.030	27.215	0.239
7.040	27.144	0.239
